recorte,numero_mask,8_layers,32_layers,64_layers
3,1181.0,0.9720338983050848,0.96,0.9518338488731772
12,44.0,0.6942148760330579,0.6610169491525424,0.7155963302752294
14,0.0,1.0,1.0,1.0
15,11.0,0.0,0.16666666666666666,0.0
24,1022.0,0.9125925925925926,0.921090387374462,0.9036269430051813
26,581.0,0.9185441941074524,0.9245446660884649,0.915129151291513
28,48.0,0.88,0.8247422680412371,0.8372093023255814
31,0.0,1.0,1.0,1.0
33,215.0,0.8609865470852018,0.803347280334728,0.7782101167315175
34,26.0,0.0,0.0136986301369863,0.01769199839163651
38,1326.0,0.9307839388145316,0.9338317757009346,0.9311015959517321
55,294.0,0.7339449541284404,0.6981132075471698,0.6064814814814815
56,0.0,0.0,0.0,0.0
60,359.0,0.8961892247043364,0.8962765957446809,0.8982558139534884
65,1697.0,0.961896189618962,0.9709592255793488,0.9595867517471893
75,203.0,0.7602339181286549,0.8123393316195373,0.7283950617283951
85,11.0,0.9166666666666666,0.3333333333333333,0.4
90,72.0,0.5904761904761905,0.5045045045045045,0.3137254901960784
97,149.0,0.7109375,0.746031746031746,0.6063348416289592
100,316.0,0.7269303201506592,0.7847222222222222,0.6485355648535565
104,84.0,0.9382716049382716,0.9634146341463414,0.9024390243902439
105,72.0,0.6197183098591549,0.6833333333333333,0.5370370370370371
116,84.0,0.3185840707964602,0.2807017543859649,0.25
124,586.0,0.947986577181208,0.9610169491525423,0.9569798068481123
127,278.0,0.7737226277372263,0.7894736842105263,0.7777777777777778
131,0.0,0.0,1.0,1.0
138,113.0,0.0,0.10084033613445378,0.0
142,0.0,0.0,0.0,0.0
145,28.0,0.84,0.8571428571428571,0.782608695652174
150,7.0,0.25,0.8333333333333334,0.0
153,0.0,1.0,1.0,1.0
169,0.0,1.0,1.0,1.0
171,0.0,1.0,1.0,1.0
173,715.0,0.8478099480326652,0.8409947249434815,0.8694992412746586
175,282.0,0.8962962962962963,0.9087591240875912,0.783157894736842
177,88.0,0.65,0.6761904761904762,0.5729166666666666
191,99.0,0.8598130841121495,0.95,0.9552238805970149
197,0.0,1.0,1.0,1.0
198,0.0,1.0,1.0,1.0
200,19.0,0.9473684210526315,0.95,0.6896551724137931
211,0.0,1.0,1.0,1.0
217,218.0,0.7588075880758808,0.8082901554404145,0.6246056782334385
220,0.0,1.0,1.0,1.0
224,0.0,1.0,1.0,1.0
229,149.0,0.3568075117370892,0.5585585585585585,0.34444444444444444
231,67.0,0.6993865030674846,0.8088235294117647,0.5370370370370371
245,453.0,0.8854282536151279,0.8981288981288982,0.8530465949820788
251,87.0,0.41818181818181815,0.6363636363636364,0.6259541984732825
258,15.0,0.8888888888888888,0.8275862068965517,0.125
262,0.0,1.0,1.0,1.0
267,60.0,0.7540983606557377,0.8095238095238095,0.8256880733944955
280,0.0,0.0,1.0,0.0
281,0.0,1.0,1.0,1.0
289,128.0,0.6086956521739131,0.847457627118644,0.5266106442577031
295,0.0,1.0,1.0,1.0
298,0.0,1.0,1.0,1.0
305,0.0,0.0,0.0,0.0
310,0.0,1.0,1.0,1.0
323,587.0,0.9016253207869974,0.9187817258883249,0.8768382352941176
324,230.0,0.8,0.7830882352941176,0.7682119205298014
333,0.0,1.0,1.0,1.0
340,1101.0,0.9118181818181819,0.9284420289855072,0.892627412172192
344,958.0,0.8647398843930636,0.9076923076923077,0.7894073139974779
359,135.0,0.8897338403041825,0.8973384030418251,0.8790322580645161
360,386.0,0.806312769010043,0.8356164383561644,0.7970149253731343
362,0.0,1.0,1.0,1.0
378,51.0,0.8932038834951457,0.8775510204081632,0.9278350515463918
386,283.0,0.9215358931552587,0.8983364140480592,0.8871595330739299
388,464.0,0.9065520945220193,0.9112554112554112,0.8906789413118527
391,0.0,1.0,1.0,1.0
401,122.0,0.8508771929824561,0.8782608695652174,0.8288288288288288
402,334.0,0.9107413010590015,0.9046153846153846,0.8618421052631579
403,9.0,0.0,0.0,0.17142857142857143
415,445.0,0.8896396396396397,0.909297052154195,0.8267008985879333
420,114.0,0.7651515151515151,0.8115942028985508,0.6263736263736264
425,0.0,1.0,1.0,1.0
434,0.0,1.0,1.0,1.0
435,34.0,0.8311688311688312,0.9090909090909091,0.9253731343283582
442,460.0,0.9572836801752465,0.9647577092511013,0.9387755102040817
445,0.0,1.0,0.0,1.0
449,0.0,1.0,1.0,1.0
450,2931.0,0.9801573725624358,0.9856459330143541,0.9802031330693751
451,3.0,0.0,0.0,0.0
461,62.0,0.9256198347107438,0.926829268292683,0.9
464,127.0,0.9682539682539683,0.9803921568627451,0.9469387755102041
479,12.0,0.11940298507462686,0.26229508196721313,0.0
486,41.0,0.6105263157894737,0.6829268292682927,0.6052631578947368
487,24.0,0.0,0.6046511627906976,0.3783783783783784
494,0.0,1.0,0.0,0.0
503,56.0,0.8739495798319328,0.8771929824561403,0.8928571428571429
504,141.0,0.8872727272727273,0.8773234200743495,0.8360655737704918
512,0.0,1.0,1.0,1.0
515,100.0,0.8691099476439791,0.8829787234042553,0.9032258064516129
520,0.0,1.0,1.0,1.0
524,166.0,0.6691729323308271,0.8074534161490683,0.7719298245614035
533,428.0,0.8930669800235017,0.9106078665077473,0.896969696969697
534,166.0,0.9166666666666666,0.8841463414634146,0.9177215189873418
539,0.0,1.0,1.0,1.0
540,0.0,1.0,1.0,1.0
541,561.0,0.8894783377541998,0.8840453356582388,0.8862164662349676
543,506.0,0.9419862340216323,0.963402571711177,0.9420289855072463
545,870.0,0.8852272727272728,0.8925714285714286,0.8715427166564229
549,33.0,0.9393939393939394,0.9393939393939394,0.9230769230769231
555,0.0,1.0,1.0,1.0
561,0.0,1.0,0.0,0.0
562,0.0,1.0,1.0,0.0
563,0.0,1.0,1.0,1.0
569,222.0,0.8405797101449275,0.8811188811188811,0.7959183673469388
574,346.0,0.9488636363636364,0.9572649572649573,0.8623087621696801
587,37.0,0.0,0.10256410256410256,0.1951219512195122
588,11.0,0.0,0.6666666666666666,0.625
589,26.0,0.5098039215686274,0.5647058823529412,0.6666666666666666
590,0.0,1.0,1.0,1.0
592,0.0,1.0,1.0,1.0
595,0.0,1.0,1.0,1.0
596,0.0,1.0,1.0,1.0
602,40.0,0.7083333333333334,0.8333333333333334,0.8732394366197183
606,17.0,0.0,0.0,0.0
610,0.0,1.0,1.0,1.0
612,0.0,1.0,1.0,1.0
621,0.0,1.0,1.0,1.0
623,76.0,0.8670520231213873,0.9493670886075949,0.9219858156028369
624,0.0,1.0,1.0,1.0
632,0.0,1.0,1.0,1.0
633,3.0,0.0410958904109589,0.030534351145038167,0.045112781954887216
639,46.0,0.7160493827160493,0.7,0.5507246376811594
640,679.0,0.9375448671931084,0.9465201465201465,0.9363295880149812
645,1197.0,0.9359445124439004,0.9399264405394361,0.941027801179444
647,0.0,1.0,1.0,1.0
648,143.0,0.8903654485049833,0.926829268292683,0.9614035087719298
659,1936.0,0.927710843373494,0.9445882962195753,0.9321674615792263
665,422.0,0.7108433734939759,0.5625,0.25
670,59.0,0.7547169811320755,0.7433628318584071,0.6666666666666666
692,35.0,0.8955223880597015,0.9253731343283582,0.9117647058823529
693,63.0,0.8549618320610687,0.819672131147541,0.8135593220338984
695,0.0,1.0,1.0,1.0
703,21.0,0.3142857142857143,0.0,0.04081632653061224
710,0.0,1.0,1.0,1.0
712,0.0,1.0,1.0,1.0
716,96.0,0.8144796380090498,0.8527918781725888,0.848780487804878
719,3389.0,0.9833134684147795,0.9818997756170531,0.9844483568075117
725,0.0,1.0,1.0,1.0
736,2560.0,0.9658762290341237,0.9704576173006372,0.9705595632676935
753,1711.0,0.9653779572994806,0.9707259953161592,0.9661214953271028
754,5707.0,0.9718334499650105,0.9723883221948646,0.9753443888742651
762,9.0,0.75,0.7058823529411765,0.8
763,0.0,1.0,1.0,1.0
771,251.0,0.9239543726235742,0.9191321499013807,0.9161554192229039
772,7.0,0.0,0.0,0.4
775,0.0,1.0,1.0,1.0
783,38.0,0.7578947368421053,0.7474747474747475,0.8604651162790697
786,233.0,0.8385899814471243,0.8327137546468402,0.8388349514563107
788,0.0,1.0,1.0,1.0
796,6.0,0.0,0.0,0.0
803,338.0,0.7905511811023622,0.8220472440944881,0.8258426966292135
809,27.0,0.8928571428571429,0.8571428571428571,0.7272727272727273
810,16.0,0.07432432432432433,0.06920415224913495,0.03508771929824561
813,205.0,0.8947368421052632,0.908675799086758,0.9259259259259259
814,315.0,0.9468892261001517,0.9510703363914373,0.9672386895475819
816,54.0,0.8163265306122449,0.8543689320388349,0.8846153846153846
819,0.0,1.0,1.0,1.0
823,309.0,0.901840490797546,0.9199372056514914,0.9300813008130081
826,0.0,1.0,1.0,1.0
827,0.0,1.0,1.0,1.0
835,0.0,1.0,1.0,1.0
837,0.0,1.0,1.0,1.0
843,795.0,0.9778621125869703,0.978343949044586,0.9716129032258064
851,0.0,1.0,1.0,1.0
858,136.0,0.8833922261484098,0.9029850746268657,0.9022556390977443
860,575.0,0.9132653061224489,0.9122502172024327,0.9193976970770593
864,23.0,0.8292682926829268,0.8780487804878049,0.7906976744186046
869,79.0,0.9308176100628931,0.9178082191780822,0.9743589743589743
870,0.0,1.0,1.0,1.0
872,0.0,1.0,1.0,1.0
875,307.0,0.916030534351145,0.9322834645669291,0.9233226837060703
877,0.0,1.0,1.0,0.0
879,0.0,0.0,1.0,1.0
887,0.0,1.0,1.0,1.0
889,0.0,1.0,1.0,1.0
891,175.0,0.7953488372093023,0.7953488372093023,0.8229426433915212
906,0.0,1.0,1.0,1.0
907,0.0,1.0,1.0,1.0
908,0.0,1.0,1.0,1.0
925,0.0,1.0,1.0,1.0
933,568.0,0.896774193548387,0.8906624102154829,0.8883495145631068
934,11.0,0.8461538461538461,0.9523809523809523,0.625
941,0.0,1.0,1.0,1.0
944,0.0,1.0,1.0,1.0
945,0.0,1.0,1.0,1.0
