ID,split
1,train
2,train
3,val
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,val
13,train
14,val
15,val
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,val
25,train
26,val
27,train
28,val
29,train
30,train
31,val
32,train
33,val
34,val
35,train
36,train
37,train
38,val
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,train
55,val
56,val
57,train
58,train
59,train
60,val
61,train
62,train
63,train
64,train
65,val
66,train
67,train
68,train
69,train
70,train
71,train
72,train
73,train
74,train
75,val
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,val
86,train
87,train
88,train
89,train
90,val
91,train
92,train
93,train
94,train
95,train
96,train
97,val
98,train
99,train
100,val
101,train
102,train
103,train
104,val
105,val
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,val
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,val
125,train
126,train
127,val
128,train
129,train
130,train
131,val
132,train
133,train
134,train
135,train
136,train
137,train
138,val
139,train
140,train
141,train
142,val
143,train
144,train
145,val
146,train
147,train
148,train
149,train
150,val
151,train
152,train
153,val
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,val
170,train
171,val
172,train
173,val
174,train
175,val
176,train
177,val
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,val
192,train
193,train
194,train
195,train
196,train
197,val
198,val
199,train
200,val
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,val
212,train
213,train
214,train
215,train
216,train
217,val
218,train
219,train
220,val
221,train
222,train
223,train
224,val
225,train
226,train
227,train
228,train
229,val
230,train
231,val
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,val
246,train
247,train
248,train
249,train
250,train
251,val
252,train
253,train
254,train
255,train
256,train
257,train
258,val
259,train
260,train
261,train
262,val
263,train
264,train
265,train
266,train
267,val
268,train
269,train
270,train
271,train
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,val
281,val
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,val
290,train
291,train
292,train
293,train
294,train
295,val
296,train
297,train
298,val
299,train
300,train
301,train
302,train
303,train
304,train
305,val
306,train
307,train
308,train
309,train
310,val
311,train
312,train
313,train
314,train
315,train
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,val
324,val
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,val
334,train
335,train
336,train
337,train
338,train
339,train
340,val
341,train
342,train
343,train
344,val
345,train
346,train
347,train
348,train
349,train
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,val
360,val
361,train
362,val
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
371,train
372,train
373,train
374,train
375,train
376,train
377,train
378,val
379,train
380,train
381,train
382,train
383,train
384,train
385,train
386,val
387,train
388,val
389,train
390,train
391,val
392,train
393,train
394,train
395,train
396,train
397,train
398,train
399,train
400,train
401,val
402,val
403,val
404,train
405,train
406,train
407,train
408,train
409,train
410,train
411,train
412,train
413,train
414,train
415,val
416,train
417,train
418,train
419,train
420,val
421,train
422,train
423,train
424,train
425,val
426,train
427,train
428,train
429,train
430,train
431,train
432,train
433,train
434,val
435,val
436,train
437,train
438,train
439,train
440,train
441,train
442,val
443,train
444,train
445,val
446,train
447,train
448,train
449,val
450,val
451,val
452,train
453,train
454,train
455,train
456,train
457,train
458,train
459,train
460,train
461,val
462,train
463,train
464,val
465,train
466,train
467,train
468,train
469,train
470,train
471,train
472,train
473,train
474,train
475,train
476,train
477,train
478,train
479,val
480,train
481,train
482,train
483,train
484,train
485,train
486,val
487,val
488,train
489,train
490,train
491,train
492,train
493,train
494,val
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,train
503,val
504,val
505,train
506,train
507,train
508,train
509,train
510,train
511,train
512,val
513,train
514,train
515,val
516,train
517,train
518,train
519,train
520,val
521,train
522,train
523,train
524,val
525,train
526,train
527,train
528,train
529,train
530,train
531,train
532,train
533,val
534,val
535,train
536,train
537,train
538,train
539,val
540,val
541,val
542,train
543,val
544,train
545,val
546,train
547,train
548,train
549,val
550,train
551,train
552,train
553,train
554,train
555,val
556,train
557,train
558,train
559,train
560,train
561,val
562,val
563,val
564,train
565,train
566,train
567,train
568,train
569,val
570,train
571,train
572,train
573,train
574,val
575,train
576,train
577,train
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,train
586,train
587,val
588,val
589,val
590,val
591,train
592,val
593,train
594,train
595,val
596,val
597,train
598,train
599,train
600,train
601,train
602,val
603,train
604,train
605,train
606,val
607,train
608,train
609,train
610,val
611,train
612,val
613,train
614,train
615,train
616,train
617,train
618,train
619,train
620,train
621,val
622,train
623,val
624,val
625,train
626,train
627,train
628,train
629,train
630,train
631,train
632,val
633,val
634,train
635,train
636,train
637,train
638,train
639,val
640,val
641,train
642,train
643,train
644,train
645,val
646,train
647,val
648,val
649,train
650,train
651,train
652,train
653,train
654,train
655,train
656,train
657,train
658,train
659,val
660,train
661,train
662,train
663,train
664,train
665,val
666,train
667,train
668,train
669,train
670,val
671,train
672,train
673,train
674,train
675,train
676,train
677,train
678,train
679,train
680,train
681,train
682,train
683,train
684,train
685,train
686,train
687,train
688,train
689,train
690,train
691,train
692,val
693,val
694,train
695,val
696,train
697,train
698,train
699,train
700,train
701,train
702,train
703,val
704,train
705,train
706,train
707,train
708,train
709,train
710,val
711,train
712,val
713,train
714,train
715,train
716,val
717,train
718,train
719,val
720,train
721,train
722,train
723,train
724,train
725,val
726,train
727,train
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,train
736,val
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,train
745,train
746,train
747,train
748,train
749,train
750,train
751,train
752,train
753,val
754,val
755,train
756,train
757,train
758,train
759,train
760,train
761,train
762,val
763,val
764,train
765,train
766,train
767,train
768,train
769,train
770,train
771,val
772,val
773,train
774,train
775,val
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,val
784,train
785,train
786,val
787,train
788,val
789,train
790,train
791,train
792,train
793,train
794,train
795,train
796,val
797,train
798,train
799,train
800,train
801,train
802,train
803,val
804,train
805,train
806,train
807,train
808,train
809,val
810,val
811,train
812,train
813,val
814,val
815,train
816,val
817,train
818,train
819,val
820,train
821,train
822,train
823,val
824,train
825,train
826,val
827,val
828,train
829,train
830,train
831,train
832,train
833,train
834,train
835,val
836,train
837,val
838,train
839,train
840,train
841,train
842,train
843,val
844,train
845,train
846,train
847,train
848,train
849,train
850,train
851,val
852,train
853,train
854,train
855,train
856,train
857,train
858,val
859,train
860,val
861,train
862,train
863,train
864,val
865,train
866,train
867,train
868,train
869,val
870,val
871,train
872,val
873,train
874,train
875,val
876,train
877,val
878,train
879,val
880,train
881,train
882,train
883,train
884,train
885,train
886,train
887,val
888,train
889,val
890,train
891,val
892,train
893,train
894,train
895,train
896,train
897,train
898,train
899,train
900,train
901,train
902,train
903,train
904,train
905,train
906,val
907,val
908,val
909,train
910,train
911,train
912,train
913,train
914,train
915,train
916,train
917,train
918,train
919,train
920,train
921,train
922,train
923,train
924,train
925,val
926,train
927,train
928,train
929,train
930,train
931,train
932,train
933,val
934,val
935,train
936,train
937,train
938,train
939,train
940,train
941,val
942,train
943,train
944,val
945,val
